代码     名称        一级行业    三级        次数  最大权重   PE     PB    市值(亿)    
600535 天士力       医药生物    中药Ⅱ       6   0.78   19.69  1.84  241      
000672 上峰材料      建筑材料    水泥        5   5.27   21.74  1.49  128      
601101 昊华能源      煤炭      煤炭开采      5   2.87   30.53  1.42  170      
600750 华润江中      医药生物    中药Ⅱ       5   2.62   18.44  4.47  168      
000933 神火股份      有色金属    工业金属      5   2.52   8.52   2.12  586      
001965 招商公路      交通运输    铁路公路      5   2.0    14.84  1.02  687      
601598 中国外运      交通运输    物流        5   1.94   11.56  1.15  469      
600820 隧道股份      建筑      基础建设      5   1.93   8.15   0.56  178      
601898 中煤能源      煤炭      煤炭开采      5   1.88   10.3   1.12  1830     
002469 三维化学      基础化工    化学原料      5   1.69   27.9   1.48  37       
600019 宝钢股份      钢铁      普钢        5   1.6    13.17  0.65  1335     
600887 伊利股份      食品饮料    饮料乳品      5   1.58   14.18  3.18  1714     
600873 梅花生物      基础化工    化学制品      5   1.47   9.58   1.5   228      
920599 同力股份      机械设备    工程机械      5   1.41   None   None  0        
601728 中国电信      通信      通信服务      5   1.37   18.2   1.25  5765     
601098 中南传媒      传媒      出版        5   1.23   12.29  1.25  197      
600064 南京高科      房地产     房地产开发     5   0.96   7.75   0.71  137      
601216 君正集团      基础化工    化学原料      5   0.93   13.21  1.5   400      
601997 贵阳银行      银行      银行Ⅱ       5   0.88   4.0    0.33  211      
600519 贵州茅台      食品饮料    白酒Ⅱ       4   9.61   20.41  7.25  16884    
601600 中国铝业      有色金属    工业金属      4   6.45   11.19  2.04  1642     
603444 吉比特       传媒      游戏Ⅱ       4   4.28   13.83  5.1   280      
601872 招商轮船      交通运输    航运港口      4   4.24   17.14  3.15  1356     
002847 盐津铺子      食品饮料    休闲食品      4   2.54   17.55  7.67  141      
000408 藏格矿业      基础化工    农化制品      4   2.32   27.03  7.17  1265     
688188 柏楚电子      计算机     计算机设备     4   2.29   36.19  7.25  425      
600236 桂冠电力      公用事业    电力        4   2.05   22.15  4.71  853      
001316 润贝航科      石油石化    炼化及贸易     4   2.03   19.34  3.1   41       
600741 华域汽车      汽车      汽车零部件     4   1.76   7.41   0.82  532      
600582 天地科技      机械设备    专用设备      4   1.64   14.14  0.82  204      
000157 中联重科      机械设备    工程机械      4   1.62   15.17  1.16  657      
600585 海螺水泥      建筑材料    水泥        4   1.5    12.61  0.52  979      
601186 中国铁建      建筑      基础建设      4   1.42   4.94   0.32  870      
688009 中国通号      机械设备    轨交设备Ⅱ     4   1.39   14.84  1.17  541      
600132 重庆啤酒      食品饮料    非白酒       4   1.38   18.83  18.04 225      
600795 国电电力      公用事业    电力        4   1.24   13.43  1.55  906      
600415 小商品城      商贸零售    一般零售      4   1.13   15.99  3.32  702      
601766 中国中车      机械设备    轨交设备Ⅱ     4   1.1    13.09  1.01  1768     
000999 华润三九      医药生物    中药Ⅱ       4   1.07   13.11  1.88  430      
603233 大参林       医药生物    医药商业      4   1.03   16.69  3.01  215      
600285 羚锐制药      医药生物    中药Ⅱ       4   0.8    16.53  4.31  130      
300770 新媒股份      传媒      电视广播Ⅱ     4   0.33   12.54  2.27  81       
603939 益丰药房      医药生物    医药商业      4   0.27   15.94  2.41  276      
000513 丽珠集团      医药生物    化学制药      4   0.15   14.08  2.09  276      
300628 亿联网络      通信      通信设备      3   4.27   18.29  5.91  493      
601369 陕鼓动力      机械设备    专用设备      3   2.39   23.91  1.87  165      
600007 中国国贸      房地产     房地产开发     3   2.18   16.17  2.15  193      
600566 济川药业      医药生物    中药Ⅱ       3   1.93   14.24  1.85  247      
600803 新奥股份      公用事业    燃气Ⅱ       3   1.7    12.64  2.6   551      
600926 杭州银行      银行      银行Ⅱ       3   1.44   6.07   0.86  1192     
000983 山西焦煤      煤炭      煤炭开采      3   1.38   27.8   1.01  369      
002756 永兴材料      有色金属    能源金属      3   1.25   25.36  1.87  243      
600348 华阳股份      煤炭      煤炭开采      3   1.22   19.56  1.15  311      
002867 周大生       纺织服饰    饰品        3   1.04   12.25  2.31  140      
002601 龙佰集团      基础化工    化学原料      3   0.98   52.39  1.71  391      
301109 军信股份      公用事业    环境治理      3   0.92   14.61  1.55  112      
002043 兔宝宝       建筑材料    装修建材      3   0.86   14.6   3.43  109      
002563 森马服饰      纺织服饰    服装家纺      3   0.84   16.91  1.48  167      
600273 嘉化能源      基础化工    化学制品      3   0.78   11.27  0.93  92       
002416 爱施德       商贸零售    专业连锁Ⅱ     3   0.69   32.97  2.31  124      
601019 山东出版      传媒      出版        3   0.66   13.29  1.03  157      
600373 中文传媒      传媒      出版        3   0.65   48.75  0.59  104      
600057 厦门象屿      交通运输    物流        3   0.59   14.57  1.23  190      
600729 重百集团      商贸零售    一般零售      3   0.59   13.02  1.18  93       
002572 索菲亚       轻工制造    家居用品      3   0.57   9.78   1.26  83       
002154 报喜鸟       纺织服饰    服装家纺      3   0.48   14.01  1.24  57       
603706 东方环宇      公用事业    燃气Ⅱ       3   0.47   15.11  2.14  36       
603967 中创物流      交通运输    物流        3   0.46   13.71  1.77  40       
002267 陕天然气      公用事业    燃气Ⅱ       3   0.45   16.54  1.21  82       
000090 天健集团      房地产     房地产开发     3   0.42   39.29  0.56  63       
002737 葵花药业      医药生物    中药Ⅱ       3   0.41   -38.58 2.06  79       
002540 亚太科技      有色金属    工业金属      3   0.34   16.82  1.14  62       
601633 长城汽车      汽车      乘用车       2   9.31   15.87  1.67  1438     
002555 三七互娱      传媒      游戏Ⅱ       2   6.95   13.66  3.35  440      
000100 TCL科技     电子      光学光电子     2   6.21   19.44  1.62  984      
601877 正泰电器      电力设备    电网设备      2   5.08   11.77  1.23  542      
300033 同花顺       计算机     软件开发      2   4.47   52.94  25.3  1768     
600183 生益科技      电子      元件        2   4.18   65.32  16.05 2566     
605117 德业股份      电力设备    光伏设备      2   3.87   28.51  10.49 1042     
600031 三一重工      机械设备    工程机械      2   3.82   22.44  2.12  1890     
688578 艾力斯       医药生物    化学制药      2   3.69   20.72  6.7   500      
600211 西藏药业      医药生物    生物制品      2   3.51   12.89  3.44  125      
